商品款号,商品名称,大类,中类,小类,实际库存,近期零售,动销率,零售价,建议动作
TOX1W30941,小黑托昵童袜,袜品,儿童袜,单双装童袜,23,1,0.043478260869565216,16,先停补再去化
TOX1T20214X,小黑托昵针织外套,衣着系列,衣类,T恤,22,2,0.09090909090909091,248,先停补再去化
TOX3K50351,高端抑菌无痕女平角内裤,内裤,常规内裤,60S高端系列,22,2,0.09090909090909091,118,先停补再去化
TOX5W31007,五双装童袜,袜品,儿童袜,五双装童袜,20,1,0.05,78,先停补再去化
TOX1K60670X,小黑托昵打底裤,衣着系列,裤类,单裤,20,1,0.05,76,先停补再去化
TOX1K60670X,小黑托昵打底裤,衣着系列,裤类,单裤,20,1,0.05,76,先停补再去化
TOX5W30999,五双装童袜,袜品,儿童袜,五双装童袜,20,1,0.05,66,先停补再去化
TOX3W30965,三双装童袜,袜品,儿童袜,三双装童袜,20,0,0.0,48,先停补再去化
TOX3W30982,三双装童袜,袜品,儿童袜,三双装童袜,20,0,0.0,48,先停补再去化
TOX3W30984,三双装童袜,袜品,儿童袜,三双装童袜,20,0,0.0,46,先停补再去化
TOX3W30986,三双装童袜,袜品,儿童袜,三双装童袜,20,0,0.0,46,先停补再去化
TOX3W30985,三双装童袜,袜品,儿童袜,三双装童袜,19,1,0.05263157894736842,49,观察并做组合去化
TOX1B91085A,小黑托昵少女文胸,少女文胸,少女文胸,A阶,18,0,0.0,89,观察并做组合去化
TOX1B91085A,小黑托昵少女文胸,少女文胸,少女文胸,A阶,18,0,0.0,89,观察并做组合去化
TOX1B91088A,小黑托昵少女文胸,少女文胸,少女文胸,A阶,18,0,0.0,89,观察并做组合去化
TOX1B91088A,小黑托昵少女文胸,少女文胸,少女文胸,A阶,18,0,0.0,89,观察并做组合去化
TOX1B91089A,小黑托昵少女文胸,少女文胸,少女文胸,A阶,18,0,0.0,79,观察并做组合去化
TOX1B91089A,小黑托昵少女文胸,少女文胸,少女文胸,A阶,18,0,0.0,79,观察并做组合去化
TOX1B91089A,小黑托昵少女文胸,少女文胸,少女文胸,A阶,18,0,0.0,79,观察并做组合去化
TOX5W30995,五双装童袜,袜品,儿童袜,五双装童袜,18,0,0.0,69,观察并做组合去化
TOX1B91084A,小黑托昵少女文胸,少女文胸,少女文胸,A阶,17,1,0.058823529411764705,89,观察并做组合去化
TOX1B91084A,小黑托昵少女文胸,少女文胸,少女文胸,A阶,17,1,0.058823529411764705,89,观察并做组合去化
TOX5W30989,五双装童袜,袜品,儿童袜,五双装童袜,17,1,0.058823529411764705,72,观察并做组合去化
TOX5W30993,五双装童袜,袜品,儿童袜,五双装童袜,17,1,0.058823529411764705,72,观察并做组合去化
TOX5W31000,五双装童袜,袜品,儿童袜,五双装童袜,17,1,0.058823529411764705,69,观察并做组合去化
TOX3W30959,三双装童袜,袜品,儿童袜,三双装童袜,16,0,0.0,46,观察并做组合去化
TOX3W30974,三双装童袜,袜品,儿童袜,三双装童袜,16,0,0.0,46,观察并做组合去化
TOX3W30955,三双装童袜,袜品,儿童袜,三双装童袜,16,0,0.0,42,观察并做组合去化
TOX3W30967,三双装童袜,袜品,儿童袜,三双装童袜,16,0,0.0,42,观察并做组合去化
TNQ5W30910,五双装童袜,袜品,儿童袜,五双装童袜,15,0,0.0,79,观察并做组合去化
TOX5W30992,五双装童袜,袜品,儿童袜,五双装童袜,15,0,0.0,66,观察并做组合去化
TOX3W30958,三双装童袜,袜品,儿童袜,三双装童袜,15,1,0.06666666666666667,48,观察并做组合去化
TOX1B91115A,小黑托昵少女文胸,少女文胸,少女文胸,A阶,14,1,0.07142857142857142,89,观察并做组合去化
TOX5W30997,五双装童袜,袜品,儿童袜,五双装童袜,14,1,0.07142857142857142,72,观察并做组合去化
TOX1B91086A,小黑托昵少女文胸,少女文胸,少女文胸,A阶,14,1,0.07142857142857142,69,观察并做组合去化
TOX1B91086A,小黑托昵少女文胸,少女文胸,少女文胸,A阶,14,1,0.07142857142857142,69,观察并做组合去化
TOX2B81061X,小黑托昵背心,衣着系列,衣类,背心,12,0,0.0,116,观察并做组合去化
TOX3W30983,三双装童袜,袜品,儿童袜,三双装童袜,12,0,0.0,48,观察并做组合去化
TOX3W30987,三双装童袜,袜品,儿童袜,三双装童袜,12,0,0.0,48,观察并做组合去化
TOX1B91100X,小黑托昵背心,衣着系列,衣类,背心,11,1,0.09090909090909091,58,观察并做组合去化
TMQ3K50250,高端抑菌儿童内裤,内裤,常规内裤,60S高端系列,10,0,0.0,128,观察并做组合去化
